,Accessible,Adaptive_Swing,Level,Location,Name,Playground_ID,Prop_ID,lat,lon,Zip,tot_inc_num_returns,tot_inc_amnt,avg_inc_by_zip,est_median_inc
315,Y,N,4.0,"FT GEORGE, ST NICHOLAS AVES",Ft George Playground,M037-09,M037,40.8584,-73.9259,10032,29300.0,1144085000.0,39047.26962457338,36786.299615877084
316,Y,N,3.0,W 164 ST & EDGECOMBE AVE,Adventure Playground,M037-10,M037,40.8363,-73.9367,10032,29300.0,1144085000.0,39047.26962457338,36786.299615877084
317,Y,N,4.0,"Hudson, Leroy, Clarkson Sts, 7 Ave",James J Walker Park,M038,M038,40.7298,-74.0061,10014,18660.0,5629645000.0,301695.8735262594,143775.2155172414
318,Y,N,4.0,"Hamilton Pl, W 140 To W 141 Sts",Hamilton Place Playground,M041,M041,40.8231,-73.9512,10031,29340.0,1227413000.0,41834.11724608044,36862.342569269524
319,Y,N,4.0,PAYSON & DYCKMAN STS,Payson Playground,M042-01,M042,40.8672,-73.9288,10033,26930.0,1228661000.0,45624.2480505013,36752.88753799392
320,Y,N,2.0,"SEAMAN AVE BET ISHAM, W 207 ST",Emerson Playground,M042-02,M042,40.8697,-73.9222,10033,26930.0,1228661000.0,45624.2480505013,36752.88753799392
321,Y,N,4.0,W 214 ST & SEAMAN AVE,Indian Road Playground,M042-03,M042,40.8717,-73.9199,10033,26930.0,1228661000.0,45624.2480505013,36752.88753799392
322,Y,Y,3.0,"Fdr Drive, E 76 To E 78 Sts",John Jay Park,M045,M045,40.7692,-73.9495,10021,23530.0,10700368000.0,454754.2711432214,143838.44580777097
323,Y,Y,4.0,E 114 ST & PLEASANT,Thomas Jefferson Park,M047-01,M047,40.7934,-73.934,10029,35060.0,1794048000.0,51170.792926411865,36603.63247863248
324,Y,N,2.0,E 111 ST & 1 AVE,Thomas Jefferson Park,M047-03,M047,40.7922,-73.9355,10029,35060.0,1794048000.0,51170.792926411865,36603.63247863248
325,Y,Y,3.0,E 25 ST & MADISON AVE,Madison Square Park,M052-02,M052,40.7425,-73.9873,10010,17360.0,3974321000.0,228935.54147465437,87936.36363636363
326,Y,Y,3.0,W 123 ST & MORNINGSIDE AVE,Morningside Park,M056-01,M056,40.8098,-73.9559,10026,18040.0,1236140000.0,68522.17294900221,37294.84777517564
327,Y,N,2.0,W 117 ST & MORNINGSIDE AVE,Morningside Playground,M056-02,M056,40.8069,-73.9578,10026,18040.0,1236140000.0,68522.17294900221,37294.84777517564
328,Y,N,4.0,MORNINGSIDE AVE & 113 ST,Morningside Park,M056-03,M056,40.8032,-73.9587,10026,18040.0,1236140000.0,68522.17294900221,37294.84777517564
329,Y,N,4.0,MORNINGSIDE DR &  110 ST,Morningside Park,M056-04,M056,40.802,-73.96,10026,18040.0,1236140000.0,68522.17294900221,37294.84777517564
330,Y,N,4.0,E 122 ST & MADISON AVE,Mt. Morris East,M058-01,M058,40.8033,-73.9431,10027,27180.0,1687853000.0,62099.08020603385,37013.960546282244
331,Y,N,4.0,5 AVE NR MADISON & 124 ST,Marcus Garvey Memorial Park,M058-06,M058,40.8053,-73.9422,10027,27180.0,1687853000.0,62099.08020603385,37013.960546282244
332,Y,N,4.0,124 ST BTWN 5 AVE AND MT MORRIS PARK WEST,Marcus Garvey Memorial Park,M058-07,M058,40.8059,-73.9435,10027,27180.0,1687853000.0,62099.08020603385,37013.960546282244
333,Y,N,4.0,"Ave C, Fdr Dr, E 17 St",Murphy Park,M059,M059,40.7302,-73.9733,10009,32410.0,2611193000.0,80567.51002776921,37987.53753753754
334,Y,N,4.0,"Cherry, Montgomery & Gouverneur Sts",Lillian D Wald Playground,M064,M064,40.712,-73.9843,10002,42180.0,2313723000.0,54853.55618776671,12081.728045325779
335,Y,N,2.0,"Columbia, Delancey & Willett Sts",Luther Gulick Playground,M065,M065,40.7159,-73.9819,10002,42180.0,2313723000.0,54853.55618776671,12081.728045325779
336,Y,N,4.0,"W 17 St, 8 To 9 Aves",Dr Gertrude B Kelly Playground,M066,M066,40.7417,-74.002,10011,29920.0,8097331000.0,270632.7205882353,88524.92012779553
337,Y,N,2.0,"Henry St, Market St, E Broadway",Loeb Playground,M067,M067,40.7132,-73.9943,10002,42180.0,2313723000.0,54853.55618776671,12081.728045325779
338,Y,N,2.0,"Thompson St, Spring To Prince Sts",Vesuvio Playground,M069,M069,40.7253,-74.0026,10012,12470.0,3239965000.0,259820.76984763434,88264.92537313433
339,N,,,RIVERSIDE BOULEVARD BETW. W 67 & W 68 STS,Little Engine Playground,M071-02,M071,40.7779,-73.989,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
340,N,,,W 74 ST,Classic Playground,M071-03,M071,40.7834,-73.9864,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
